LON,LAT,resource_t,org_name,email,address,phone,optional_r
-84.518577,37.922394,Cut Flower Grower,Agape Fields,julie@agapefields.com,"1422 Beaumont Road, Nicholasville, Kentucky 40356",www.agapefields.com,"Florist Wholesale, Wedding Design, Bouquet Subscription, Pop up Flower Bar, Grocery Stores"
-84.6859716,38.2692388,Cut Flower Grower,Annie's Flowers L.L.C.,anniesfreshflowers@gmail.com,"115 Wright Street, Stamping Ground, Kentucky 40379",anniesfreshflowers.com,Farmer's Market
-84.8133622,37.9461691,Cut Flower Grower,Bellaire Blooms,bellairebloomsky@gmail.com,"9335 McCowans Ferry Rd, Versailles, KY 40383",www.bellairebloomsky.com,"Farmer's Market, Florist Wholesale, Farm Stands"
-84.1567282,38.1524016,Cut Flower Grower,Blooms of Bourbon County LLC,cindykflowers@gmail.com,"393 Thomas Road, Paris, KY 40361",www.bloomsofbc.com,"Farmer's Market, Florist Wholesale, Wedding Design, CSA"
-84.1834639,38.0135048,Cut Flower Grower,Bluegrass Blooms & Botanicals,Bluegrassblooms@gmail.com,"671 Tech Drive, Winchester, KY",www.bluegrassblooms.com,"Wedding Design, CSA"
-86.3236721,36.9404611,Cut Flower Grower,Briar Rose Garden,Briarrosegarden@gmail.com,"7791 Cemetery Road, Bowling Green, KY 42103",briarrosegarden.com,"Wedding Design, Farm Stands, You Pick, Delivery"
-84.2818035,38.5116166,Cut Flower Grower,Brownings,LMBSpencer@gmail.com,694 Blackburn Road Cynthiana KY 41031,browningsflowertruck.com,"Wedding Design, Flower Truck"
-85.1856465,36.8700292,Cut Flower Grower,Campbell's Hollow Ranch LLC,klcampbell180@gmail.com,"180 Hollow Ranch Rd, Albany, KY 42602",www.campbellshollowranch.com,"Farmer's Market, Florist Wholesale, Local Shops"
-86.0937425,37.6775211,Cut Flower Grower,Color Me Mod Flower Farm,colormemod@gmail.com,"836 Horn Rd, Cecilia, Kentucky",colormemodflowerfarm.com,"Florist Wholesale, DIY Buckets"
-85.3515142,38.2169802,Cut Flower Grower,Eden Roots Flower Farm,edenrootsflowerfarm@gmail.com,"221 Old Veechdale Rd, Simpsonville, KY 40067",www.edenrootsflowerfarm.com,"Farmer's Market, Florist Wholesale, Wedding Design, Special Orders"
-84.402209,38.462038,Cut Flower Grower,Flora Berry Farm,vdrudnicki@gmail.com,498 Crows Ridge Road,www.floraberryfarm.com,"Farmer's Market, Florist Wholesale, Farm Stands, Delivery"
-87.6809005,36.8148033,Cut Flower Grower,Free Range Flowers at Martin Farm,freerangeflowers@yahoo.com,"593 E Lake Rd., Gracey, KY 42232",freerangeflowers.net,"Farmer's Market, Florist Wholesale, Wedding Design"
-86.6835998,37.2256023,Cut Flower Grower,Freida T's Flowers,FreidaTsFlowers@yahoo.com,"Morgantown, KY",www.FreidaTsFlowers.com,"Farmer's Market, Wedding Design"
