LON,LAT,type,name,email,street,city,state,zip,www,facebook,fbIcon,instagram,instaIcon,markets
-88.59772,37.083665,Cut Flower Grower,Poppy & Thistle,info@poppyandthistle.com,,Paducah,KY,,www.poppyandthistlefarm.com,https://www.facebook.com/poppyandthistlefarm,./icons/fb-icon.png,https://www.instagram.com/poppyandthistlefarm/?hl=en,./icons/instagram-icon.png,"Local boutique, Custom orders"
-87.9007986,37.0039265,Cut Flower Grower,Meadowview Flowers,meadowviewflowers@gmail.com,2245 Kentucky 1272,Princeton,KY,42445,https://www.meadowviewflowers.com/,https://www.facebook.com/meadowviewflowers,./icons/fb-icon.png,https://www.instagram.com/meadowviewflowers/,./icons/instagram-icon.png,"Wholesale to florists, Subscriptions, Mobile Flower Truck,  Members Market at Farm, Farm To Vase Events"
-87.6809005,36.8148033,Cut Flower Grower,Free Range Flowers at Martin's Farm,freerangeflowers@yahoo.com,593 E. Lake Rd,Gracey,KY,42232,https://www.freerangeflowers.net/,https://www.facebook.com/freerangeflowersatmartinfarm/,./icons/fb-icon.png,https://www.instagram.com/freerangeflowers/,./icons/instagram-icon.png,"Wedding Design, CSA bouquet subscription delivery service to home & office"
-87.4411788,36.9127485,Cut Flower Grower,Story and Bloom,elizabeth.riggle@storyandbloom.com,5180 Greenville Road,Hopkinsville,KY,42240,https://www.storyandbloom.com/home,https://www.facebook.com/story.and.bloom/,./icons/fb-icon.png,https://www.instagram.com/story.and.bloom/,./icons/instagram-icon.png,"Farmer's Market, Wholesale to Florists, Farm Stands, Events, Workshops, U-Pick"
-87.269013,36.722974,Cut Flower Grower,The Flower Patch,jknope49@yahoo.com,3147 Cemetery Rd,Trenton,KY,42286,,https://www.facebook.com/TheFlowerPatchTrenton/,./icons/fb-icon.png,https://www.instagram.com/theflowerpatchtrenton/,./icons/instagram-icon.png,"Farmer's Market, Wholesale to Florists, Wedding Design, CSA"
-87.17854,37.20115,Cut Flower Grower,Blossom Hill Flower Farm ,ckferguson9@gmail.com,337 Outer York St.,Greenville,KY,42345,,https://www.facebook.com/blossomhillflowerfarm/,./icons/fb-icon.png,https://www.instagram.com/Blossomhillflowerfarm/,./icons/instagram-icon.png,"Consign though local hospital, boutiques, and gift stores"
-86.887271,36.844754,Cut Flower Grower,Old Roots Farm,,,Russellville,KY,,https://www.oldrootsfarm.com/,https://www.facebook.com/oldrootsfarm,./icons/fb-icon.png,https://www.instagram.com/old_roots_farm/,./icons/instagram-icon.png,"On-farm market, Farm Stands, Wholesale to florists, Local retail sites"
-86.87779,37.403048,Cut Flower Grower,Red Barn Blooms,redbarnblooms.lp@gmail.com,3679 State Rt. 269,Beaver Dam,KY,42320,,https://www.facebook.com/redbarnblooms.lp,./icons/fb-icon.png,https://www.instagram.com/red.barn.blooms/,./icons/instagram-icon.png,"Farmer's Market, Local Boutique"
-86.813939,36.856456,Cut Flower Grower,Steenbergen Sunflower Farm,steenbergenfarm42276@gmail.com,4013 Stevenson Mill Rd,Russellville ,KY,42276,https://www.steenbergenfarm.com/,https://www.facebook.com/steenbergensunflowers/,./icons/fb-icon.png,https://www.instagram.com/steenbergenfarm,,"You Pick, Flower Wagon"
-86.6835998,37.2256023,Cut Flower Grower,Freida T's Flowers,FreidaTsFlowers@yahoo.com,410 Hunt Lane,Morgantown,KY,42261,https://www.freidatsflowers,https://www.facebook.com/FreidaTsFlowers/,./icons/fb-icon.png,https://www.instagram.com/freidatsflowers/,./icons/instagram-icon.png,"Wholesale to florists, Subscriptions, Mobile Flower Truck,  Members Market at Farm, Farm To Vase Events"
-86.5863097,36.9387554,Cut Flower Grower,Starry Fields Farm,starryfieldsfarmky@gmail.com,2750 Browning Rd.,Rockfield,KY,42274,https://www.starryfieldsflowers.com/,https://www.facebook.com/starryfieldsfarm/,./icons/fb-icon.png,https://www.instagram.com/jessica_starryfieldsfarm/,./icons/instagram-icon.png,"Farmer's Market, Wholesale to florists, Local Shops"
-86.4235786,36.995634,Cut Flower Grower,Davida Flowers,MAJESTICGREENSFARM@GMAIL.COM,Warren County,,,,https://www.majesticgreensfarm.com/davidas-flowers,https://www.facebook.com/MajesticGreensFarm/,./icons/fb-icon.png,https://www.instagram.com/majesticgreensfarm/,./icons/instagram-icon.png,Subscription services
-86.3236721,36.9404611,Cut Flower Grower,Briar Rose Garden,Briarrosegarden@gmail.com,7791 Cemetery Rd,Bowling Green ,KY,42103,https://www.briarrosegarden.com,https://www.facebook.com/briarrosegarden/,./icons/fb-icon.png,https://www.instagram.com/briarrosegarden/,./icons/instagram-icon.png,"Wedding Design, Farm Stands, You Pick"
-86.19184,36.75347,Cut Flower Grower,The Maple Yard,,,Scottsville,KY,,https://themapleyard.com/,https://www.facebook.com/themapleyard,./icons/fb-icon.png,https://www.instagram.com/themapleyard/?hl=en,./icons/instagram-icon.png,"Farmer's Market, Bouquet subscription"
-86.1746693,36.9270695,Cut Flower Grower,River Bend Blooms,michelle.wheeler@riverbendblooms.com,1781 River Bend Rd.,Scottsville,KY,42164,https://www.riverbendblooms.com,https://www.facebook.com/riverbendblooms/,./icons/fb-icon.png,https://www.instagram.com/river.bend.blooms/,./icons/instagram-icon.png,"Wholesale to Florists, Subscriptions, Mobile Flower Truck,  Farm Stands"
-86.164678,37.029676,Cut Flower Grower,Kentucky Cuts,,9862 Glasgow Rd,Smiths Grove,KY,42171,,,,,,"Farmer's Market, SoKY Marketplace Crop Shop"
